date,sleep_length,sleep_quality,caffeine_mg,stress_level,ambient_sound,music,focus
2025-03-06,5,6,210,4,,0,32
2025-03-07,6,8,105,7,,0,27
2025-03-08,7,8,105,3,59.0,0,28
2025-03-09,7,7,105,9,60.0,1,44
2025-03-13,6,7,150,7,57.0,1,79
2025-03-14,6,7,150,3,52.0,1,60
2025-03-15,5,5,75,5,28.0,1,52
2025-03-16,5,5,150,4,54.0,0,27
2025-03-17,6,6,200,6,53.0,1,49
2025-03-18,7,5,300,5,63.0,1,80
2025-03-19,3,2,250,8,56.0,0,46
2025-03-20,3,3,350,8,59.0,1,60
2025-03-21,5,4,200,7,62.0,1,34
2025-03-22,8,8,100,3,63.0,1,36
2025-03-23,7,7,150,5,55.0,1,63
2025-03-24,7,6,200,6,60.0,1,87
2025-03-25,5,5,400,8,52.0,1,125
2025-03-26,5,5,250,8,52.0,1,42
2025-03-27,6,7,150,5,50.0,0,58
2025-03-28,4,3,200,7,58.0,1,42
2025-03-29,8,8,200,5,46.0,0,63
2025-03-30,5,5,250,7,59.0,1,42
2025-03-31,8,9,50,4,55.0,0,63
2025-04-01,7,8,0,5,52.0,1,75
2025-04-02,8,5,300,6,59.0,1,60
2025-04-03,5,8,200,5,58.0,1,59
2025-04-04,6,6,200,5,56.0,1,60
2025-04-05,7,7,100,4,57.0,0,72
2025-04-06,8,9,400,5,54.0,1,102
2025-04-07,6,8,270,5,34.0,1,57
2025-04-08,5,6,250,7,57.0,0,32
2025-04-09,7,6,400,8,52.0,1,120
2025-04-10,6,5,130,4,54.0,1,50
2025-04-11,9,7,250,6,59.0,1,79
2025-04-12,6,5,400,8,53.0,1,128
2025-04-13,6,6,150,5,59.0,1,55
2025-04-14,7,6,150,5,54.0,1,64
2025-04-15,4,5,200,5,60.0,1,48
2025-04-16,5,5,250,7,61.0,1,48
2025-04-17,6,6,200,5,55.0,0,52
2025-04-18,7,7,150,4,52.0,1,68
2025-04-19,8,8,250,8,57.0,1,90
2025-04-20,6,7,200,5,57.0,1,52
